,User,Tweets,Subjectivity,Polarity,Analysis
0,_Mahakal_D_,": _INC    So brutal  ! What ever ..it may be the reason , This is not the  Right…",1.0,-1.0,Negative
1,TiagoMa64703078,": Agniveer A Success.

SameerWankhede awarded for exemplary service.

Youth towards Nation Building- PM …",0.0,0.3,Positive
2,MohdYou43460317,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
3,MohdYou43460317,: Be witness to Agniveer revolution in Kashmir .. AgnipathScheme.These are WomenOfKashmir with good KashmirWomenPower…,0.6000000000000001,0.7,Positive
4,MohdYou43460317,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
5,shafiLone11,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
6,Parvaiz20221202,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPowe…,0.6000000000000001,0.7,Positive
7,ColAmitkumar,"Economy going good or bad?? TAXES EVERYWHERE! This wave only affects the middle class which are 87% in our Nation! Black money?? Unemployment?? Corruption?? Increase in Sycophancy! Yellow Journalism! &amp; Compromise with National Security With Agniveer!
Accountability is required !",0.45,-0.06388888888888886,Negative
8,Parvaiz20221202,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
9,Parvaiz20221202,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
10,muthuku95786520,"_dgar: ASSAM RIFLES COMMENCE PRE RECRUITMENT TRAINING IN NAGALAND
Jalukie Battalion of AssamRifles, on 25 Jul 2022, commenced…",0.0,0.0,Neutral
11,ZakirHu48374945,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPowe…,0.6000000000000001,0.7,Positive
12,ZakirHu48374945,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
13,aditya1402d,": I know I am bit late in wishing gurupurnima2022 but here it is..

210kg deadlift for 1 rep , dedicated to my guru &amp; el…",0.6,-0.3,Negative
14,SikhSanatani,   _dgar Please don't hire people from madrasas and specific community. You will prepare terrorist not GOD souls  IndianArmy IndianAirForce IndianNavy Agniveer,0.125,0.0,Neutral
15,ZaheerK18089594,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
16,AngkabalaKh,"_dgar: ASSAM RIFLES ASSISTS YOUTH IN REGISTRATION FOR AGNIPATH SCHEME 
Moreh Battalion of AssamRifles, on 20 Jul, in collabora…",0.0,0.0,Neutral
17,AngkabalaKh,"_dgar: ASSAM RIFLES COMMENCE PRE RECRUITMENT TRAINING IN NAGALAND
Jalukie Battalion of AssamRifles, on 25 Jul 2022, commenced…",0.0,0.0,Neutral
18,AngkabalaKh,"_dgar: ASSAM RIFLES CONDUCTS AWARENESS LECTURES ON RECRUITMENT RALLY 
Kohima Battalion of AssamRifles, on 25 Jul, conducted a…",0.0,0.0,Neutral
19,priya_yaduvansi,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
20,Mahirasingh_je,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
21,im_sonasharma,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
22,Imran26899148,_: Indeed many are meritorious among them but they all are so mean and selfish too. For their own sake they shielding scamste…,0.796875,0.071875,Positive
23,S_shrutikumari,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
24,brijend09172144,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
25,politcal2022,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
26,PreetaAroura,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
27,CpimlPuducherry,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
28,AjazAhm84088276,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
29,SundarKruti1,"_7051_bi: I feel very proud to encourage NCC cadets to join Agniveer.Agniveer
_DG_NCC 
 
_O_NU_Odisha 
_…",1.0,1.0,Positive
30,arnav_ganguly,"Great , very soon the Chinese PLA will also hire disenchanted Agniveer from the AgnipathRecruitmentScheme. They will be half trained anyways . 

",0.3041666666666667,0.20833333333333334,Positive
31,nsaibalaji,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
32,zswosgr,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
33,Satinde06150334,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
34,dinker_sukhdev,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
35,KadianRoyal,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
36,AICCTUhq,"_aisa: ""The scheme reduces the soldier’s job to that of an ad-hoc worker at one stroke...""  

Read the wonderful piece by _mu…",1.0,1.0,Positive
37,dinker_sukhdev,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
38,IAmtouseefdar,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
39,Girdhar93159493,": AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsT…",1.0,0.125,Positive
40,anshuku05442868,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
41,khan528905602,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
42,LageRahoKashmir,"AgnipathScheme briefing in Kupwara...raise hands all those who have applied 4 Agniveer... all of them. Wow!
HowIsTheJosh. Highest in Kashmir Sir.

Thanks to     .

See  _India   ",0.6,0.1625,Positive
43,JaspalS84666673,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
